acao,cnpj,setor,subsetor,segmento
heta3,92.749.225/0001-63,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos
heta4,92.749.225/0001-63,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos
hgtx3,78.876.950/0001-71,Consumo Cíclico,Tecidos. Vestuário e Calçados,Vestuário
hoot3,33.200.049/0001-47,Consumo Cíclico,Hoteis e Restaurantes,Hotelaria
hoot4,33.200.049/0001-47,Consumo Cíclico,Hoteis e Restaurantes,Hotelaria
hype3,02.932.074/0001-91,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
idvl3,61.024.352/0001-71,Financeiro e Outros,Intermediários Financeiros,Bancos
idvl4,61.024.352/0001-71,Financeiro e Outros,Intermediários Financeiros,Bancos
ifcm3,38.456.921/0001-36,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
igbr3,43.185.362/0001-07,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
igsn3,08.159.965/0001-33,Utilidade Pública,Água e Saneamento,Água e Saneamento
igta3,51.218.147/0001-93,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
igti11,60.543.816/0001-93,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
igti3,60.543.816/0001-93,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
igti4,60.543.816/0001-93,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
inep3,76.627.504/0001-06,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
inep4,76.627.504/0001-06,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
innt3,09.611.768/0001-76,Consumo Cíclico,Construção Civil,Incorporações
intb3,82.901.000/0001-27,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
irbr3,33.376.989/0001-91,Financeiro e Outros,Previdência e Seguros,Seguradoras
itec3,54.526.082/0001-31,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
itsa3,61.532.644/0001-15,Financeiro e Outros,Intermediários Financeiros,Bancos
itsa4,61.532.644/0001-15,Financeiro e Outros,Intermediários Financeiros,Bancos
itub3,60.872.504/0001-23,Financeiro e Outros,Intermediários Financeiros,Bancos
itub4,60.872.504/0001-23,Financeiro e Outros,Intermediários Financeiros,Bancos
jall3,02.635.522/0001-95,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
jbss3,02.916.265/0001-60,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
jfen3,33.035.536/0001-00,Consumo Cíclico,Construção Civil,Incorporações
jhsf3,08.294.224/0001-65,Consumo Cíclico,Construção Civil,Incorporações
jopa3,87.456.562/0001-22,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
jopa4,87.456.562/0001-22,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
jslg3,52.548.435/0001-79,Bens Industriais,Transporte,Transporte Rodoviário
kepl3,91.983.056/0001-69,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
klbn11,89.637.490/0001-45,Materiais Básicos,Madeira e Papel,Papel e Celulose
klbn3,89.637.490/0001-45,Materiais Básicos,Madeira e Papel,Papel e Celulose
klbn4,89.637.490/0001-45,Materiais Básicos,Madeira e Papel,Papel e Celulose
krsa3,13.270.520/0001-66,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
lame3,33.014.556/0001-96,Consumo Cíclico,Comércio,Produtos Diversos
lame4,33.014.556/0001-96,Consumo Cíclico,Comércio,Produtos Diversos
land3,40.337.136/0001-06,Consumo não Cíclico,Agropecuária,Agricultura
lavv3,26.462.693/0001-28,Consumo Cíclico,Construção Civil,Incorporações
lcam3,10.215.988/0001-60,Consumo Cíclico,Diversos,Aluguel de carros
leve3,60.476.884/0001-87,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
lher3,82.640.632/0001-84,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
lher4,82.640.632/0001-84,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
ligt3,03.378.521/0001-75,Utilidade Pública,Energia Elétrica,Energia Elétrica
linx3,06.948.969/0001-75,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
lipr3,01.104.937/0001-70,Utilidade Pública,Energia Elétrica,Energia Elétrica
ljqq3,96.418.264/0218-02,Consumo Cíclico,Comércio,Produtos Diversos
llis3,49.669.856/0001-43,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
logg3,09.041.168/0001-10,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
logn3,42.278.291/0001-24,Bens Industriais,Transporte,Transporte Hidroviário
