TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
FLEX3;0,00;;0,00;0,00;0,00;28,72;0,50;-14,25;0,00;46,57;46,56;;0,00;0,00;0,00;0,77;-160,02;-18,79;-20,10;-0,12;1,12;1,32;1,44;;;-14,25;-22,80;0,00;0,00
FLRY3;15,11;6,21;14,06;2,76;0,80;28,62;16,91;8,40;6,98;10,39;3,40;1,34;1,18;11,62;-1,09;1,35;19,60;5,70;11,95;0,29;0,71;0,68;13,06;8,36;31.790.122,14;5,48;1,07;1,79;4.804.133.779,56
FNCN3;16,00;;-17,02;1,50;1,37;100,00;-42,08;-40,12;-16,23;-16,23;;;6,83;2,40;-3,73;10,45;-8,79;-8,07;;0,92;0,08;0,20;-19,89;;10.563,50;10,70;-0,94;0,29;14.620.448,00
FRAS3;10,35;2,78;15,61;2,53;0,91;28,50;9,69;6,76;10,90;13,28;2,39;0,55;1,06;3,55;-1,90;1,95;16,19;5,81;12,08;0,36;0,64;0,86;26,01;22,73;3.789.330,90;4,10;0,66;-0,58;2.794.669.150,05
FRIO3;41,50;;-2,78;-0,76;0,09;18,12;8,99;-2,95;0,91;6,78;5,87;;0,08;-0,42;-0,30;0,76;-27,53;-3,36;12,54;-0,12;1,10;1,14;15,09;;12.450,00;-54,31;-14,95;-0,11;170.430.291,00
FRTA3;3,14;;2,47;-0,10;0,19;18,54;-2,84;18,28;-15,92;-164,68;-148,76;;0,45;-0,08;-0,23;0,08;-4,12;7,60;26,96;-1,85;2,85;0,42;-19,18;;9.489,93;-30,87;1,27;0,02;6.448.322,84
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;3,47;;0,71;0,35;0,32;1.263,24;1.130,11;1.118,69;0,70;0,71;0,01;0,01;7,90;-32,88;-0,35;0,89;50,11;45,49;46,17;0,91;0,09;0,04;;;463.821,97;9,81;4,91;;355.113.470,72
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GEPA3;27,37;;45,86;1,31;0,65;19,03;17,77;4,11;10,59;14,11;3,95;0,49;1,88;-4,94;-0,74;0,48;2,85;1,42;7,31;0,50;0,50;0,35;0,20;-31,03;2.602,50;20,95;0,60;-0,51;2.478.873.678,75
GEPA4;25,69;;43,04;1,23;0,61;19,03;17,77;4,11;9,94;14,11;3,95;0,49;1,77;-4,63;-0,69;0,48;2,85;1,42;7,31;0,50;0,50;0,35;0,20;-31,03;13.579,50;20,95;0,60;-0,48;2.478.873.678,75
GETT11;4,45;7,18;16,20;2,43;0,15;39,31;20,00;16,71;13,53;;2,42;0,44;2,71;5,53;-4,14;1,03;15,03;0,91;8,51;0,06;0,94;0,05;;;3.482.861,62;1,83;0,27;0,13;
GETT3;2,23;6,82;8,12;1,22;0,07;39,31;20,00;16,71;6,78;;2,42;0,44;1,36;2,77;-2,07;1,03;15,03;0,91;8,51;0,06;0,94;0,05;;;413.292,00;1,83;0,27;0,07;
GETT4;2,21;7,57;8,04;1,21;0,07;39,31;20,00;16,71;6,72;;2,42;0,44;1,34;2,74;-2,06;1,03;15,03;0,91;8,51;0,06;0,94;0,05;;;407.224,52;1,83;0,27;0,07;
GFSA3;1,35;;6,66;0,25;0,09;27,33;25,79;8,11;2,09;6,86;4,77;0,57;0,54;0,27;-0,26;2,24;3,77;1,41;3,57;0,38;0,62;0,17;-2,22;;9.670.677,66;5,38;0,20;-0,02;455.551.731,45
GGBR3;22,10;14,98;2,38;0,90;0,53;26,97;27,30;19,39;1,69;2,22;0,23;0,12;0,46;1,90;-1,01;2,43;37,72;22,32;30,76;0,59;0,41;1,15;15,78;;1.252.915,79;24,61;9,29;0,01;44.628.518.484,90
GGBR4;27,88;11,87;3,00;1,13;0,67;26,97;27,30;19,39;2,13;2,22;0,23;0,12;0,58;2,40;-1,27;2,43;37,72;22,32;30,76;0,59;0,41;1,15;15,78;;386.555.614,48;24,61;9,29;0,01;44.628.518.484,90
GGPS3;13,00;1,44;20,89;3,81;1,29;16,33;9,26;5,78;13,05;13,61;0,56;0,16;1,21;4,35;-2,75;2,26;18,24;6,16;10,98;0,34;0,66;1,07;;;14.118.172,59;3,41;0,62;2,93;8.706.214.855,00
