acao,cnpj,setor,subsetor,segmento,codigo,indice
sbfg3,13.217.485/0001-11,Consumo Cíclico,Comércio,Produtos Diversos,sbfg,3
sbsp3,43.776.517/0001-80,Utilidade Pública,Água e Saneamento,Água e Saneamento,sbsp,3
scar3,29.780.061/0001-09,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,scar,3
sedu3,02.541.982/0001-54,Consumo Cíclico,Diversos,Serviços Educacionais,sedu,3
seer3,04.986.320/0001-13,Consumo Cíclico,Diversos,Serviços Educacionais,seer,3
seql3,01.599.101/0001-93,Bens Industriais,Transporte,Logística,seql,3
sgps3,07.718.269/0001-57,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,sgps,3
show3,02.860.694/0001-62,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,show,3
shul4,84.693.183/0001-68,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,shul,4
simh3,07.415.333/0001-20,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,simh,3
slce3,89.096.457/0001-55,Consumo não Cíclico,Agropecuária,Agricultura,slce,3
sled4,60.500.139/0001-26,Consumo Cíclico,Comércio,Produtos Diversos,sled,4
smft3,07.594.978/0001-78,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,smft,3
smls3,05.730.375/0001-20,Consumo Cíclico,Diversos,Programas de Fidelização,smls,3
smto3,51.466.860/0001-56,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,smto,3
snsy3,14.807.945/0001-24,Materiais Básicos,Materiais Diversos,Materiais Diversos,snsy,3
soja3,10.807.374/0001-77,Consumo não Cíclico,Agropecuária,Agricultura,soja,3
soma3,10.285.590/0001-08,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,soma,3
sond3,33.386.210/0001-19,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,sond,3
sqia3,04.065.791/0001-99,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,sqia,3
stbp3,02.762.121/0001-04,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,stbp,3
stkf3,00.622.416/0001-41,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,stkf,3
sttr3,91.495.499/0001-00,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,sttr,3
sula11,29.978.814/0001-87,Financeiro e Outros,Previdência e Seguros,Seguradoras,sula,11
